property_id,property_name,category,city
16558,365 Royal Grands,Luxury,Karachi
16559,365 Luxe Exotica,Luxury,Lahore
16560,365 City Haven,Business,Karachi
16561,365 Azure Blu,Luxury,Karachi
16562,365 Ocean Bay,Luxury,Karachi
16563,365 Majestic Palace,Business,Karachi
17558,365 Royal Grands,Luxury,Lahore
17559,365 Luxe Exotica,Luxury,Lahore
17560,365 City Haven,Business,Lahore
17561,365 Azure Blu,Luxury,Lahore
17562,365 Ocean Bay,Luxury,Lahore
17563,365 Majestic Palace,Business,Lahore
18558,365 Royal Grands,Luxury,Islamabad
18559,365 Luxe Exotica,Luxury,Islamabad
18560,365 City Haven,Business,Islamabad
18561,365 Azure Blu,Luxury,Islamabad
18562,365 Ocean Bay,Luxury,Islamabad
18563,365 Majestic Palace,Business,Islamabad
19558,365 Royal Grands,Luxury,Rawalpindi
19559,365 Luxe Exotica,Luxury,Rawalpindi
19560,365 City Haven,Business,Rawalpindi
19561,365 Azure Blu,Luxury,Rawalpindi
19562,365 Ocean Bay,Luxury,Rawalpindi
19563,365 Majestic Palace,Business,Rawalpindi
17564,365 Four Seasons,Business,Lahore
